Date,Actual,ARIMA_Pred,Hybrid_Pred
2023-03-15,-0.24011941073398546,-0.06505851487274025,-0.06821886256913398
2023-03-16,0.6960707780379938,-0.11439525713180876,-0.11790860891310251
2023-03-17,-0.36824084243167743,0.01702328716620257,0.013303613208526875
2023-03-20,-0.34690701595123663,0.14430508356869512,0.141031903348419
2023-03-21,-0.18544425285486055,0.10050678655701725,0.09718363785381465
2023-03-22,-0.29986962190352573,-0.04532472805933755,-0.04841415251487594
2023-03-23,-0.28115600889238035,-0.08840466792835416,-0.09159080604231479
2023-03-24,-1.3376172054291535,0.015367952140622414,0.012597682152517713
2023-03-27,0.6712301455439551,0.11968506790474934,0.11785614256990087
2023-03-28,-0.267362027990492,0.08633959067990696,0.08437043086630916
2023-03-29,-0.3077941419824537,-0.030030430702319248,-0.032625004591246946
2023-03-30,-0.19587012814553661,-0.06738037547768763,-0.0694140109859567
2023-03-31,-0.07650600405814112,0.014672913478512996,0.012845600030210548
2023-04-03,-0.21304926764313947,0.0998265375404801,0.09769457648724278
2023-04-04,-0.4870563117160387,0.07478985557086543,0.07257729995749668
2023-04-05,0.28830036875628906,-0.01820291464021937,-0.020832950033159416
2023-04-06,-0.013370771493514955,-0.050327612412341384,-0.05305597311741903
2023-04-07,-0.16047071409467373,0.014546123854407185,0.011751675568112248
2023-04-10,-0.1741226895258463,0.08389062246611997,0.08108327885462627
2023-04-11,0.32872668724004406,0.06533141609787896,0.06261433859862342
2023-04-12,-0.2808425275827475,-0.00905885103035367,-0.011555099374313121
2023-04-13,-0.6001475222959796,-0.036489151255952736,-0.03877263011017682
2023-04-14,-0.6982156710628407,0.014756200198617488,0.012232549550545126
2023-04-17,-0.18342391304347894,0.07114858726523193,0.0685975345458773
2023-04-18,1.1365956577962244,0.057559730008883155,0.05457507841166643
2023-04-19,0.20188425302827273,-0.0019862798063314535,-0.0047323714962459185
2023-04-20,0.7790463398253955,-0.02526623586885325,-0.02763675682939283
2023-04-21,-0.3998400639744104,0.015162546429828637,0.012788801696197026
2023-04-24,-0.7226013649136886,0.06098489602983013,0.05810018163129702
2023-04-25,0.7211214449386771,0.05116129639133031,0.04855221552348847
2023-04-26,-0.06691201070592179,0.0034864757683070596,0.0008080835461558994
2023-04-27,-0.6260462002008693,-0.016174601001891283,-0.018796576962101248
2023-04-28,-1.0612134892025726,0.015676495108595256,0.013125442389240627
2023-05-01,-0.14301280305093478,0.05289050715107664,0.05020083172310337
2023-05-02,0.057969037713978544,0.0458890860075943,0.04332836196896358
2023-05-03,0.5520907882629489,0.007721574183131262,0.004975482493216797
2023-05-04,-0.48805287239450657,-0.008818411106563933,-0.012041622611082919
2023-05-05,0.1328292633084649,0.016240260125633017,0.012683387174766199
2023-05-08,-0.21768707482993088,0.046450654114096185,0.042605252540169974
2023-05-09,0.5590400872647949,0.041544927192679146,0.03804447050375352
2023-05-10,0.11525423728813156,0.010997445334487807,0.007658177765825044
2023-05-11,-0.5146610685988984,-0.002873113262405729,-0.005893226363634801
2023-05-12,0.5411476414131089,0.016815517944339803,0.013650334588308027
2023-05-15,-0.18618191665820127,0.04133069174089496,0.03767065781825249
2023-05-16,0.35270976056434034,0.03796745559718966,0.034592726524514554
2023-05-17,0.6083136194660277,0.013528891203375408,0.0102669941889214
2023-05-18,-0.057104467584812024,0.0019271784207917156,-0.0015410405372135935
2023-05-19,0.26551944341746125,0.017376975552677053,0.014245641814111608
2023-05-22,0.013408420488070227,0.03726226629953496,0.03412609690133147
2023-05-23,-0.21450596594717597,0.035023910334319314,0.03199251379443749
2023-05-24,0.06045949214026347,0.015482255870066679,0.012255820592455662
2023-05-25,0.341728033736155,0.005799755820938397,0.0018125077653015145
