Date,OIL_Returns,GOLD_Returns,USDIDR_Returns,SP500_Returns,IHSG_Returns,VIX_Returns,CPI,BI_rate,US_rate,CPI_Lag_1,CPI_Lag_3,CPI_Lag_5,CPI_Lag_10,BI_rate_Lag_1,BI_rate_Lag_3,BI_rate_Lag_5,BI_rate_Lag_10,US_rate_Lag_1,US_rate_Lag_3,US_rate_Lag_5,US_rate_Lag_10,OIL_Returns_Lag_1,OIL_Returns_Lag_3,OIL_Returns_Lag_5,OIL_Returns_Lag_10,GOLD_Returns_Lag_1,GOLD_Returns_Lag_3,GOLD_Returns_Lag_5,GOLD_Returns_Lag_10,SP500_Returns_Lag_1,SP500_Returns_Lag_3,SP500_Returns_Lag_5,SP500_Returns_Lag_10,IHSG_Returns_Lag_1,IHSG_Returns_Lag_3,IHSG_Returns_Lag_5,IHSG_Returns_Lag_10,VIX_Returns_Lag_1,VIX_Returns_Lag_3,VIX_Returns_Lag_5,VIX_Returns_Lag_10,USDIDR_Returns_Lag_1,USDIDR_Returns_Lag_3,USDIDR_Returns_Lag_5,USDIDR_Returns_Lag_10,ARIMA_Pred,Residual
2010-01-18,0.0,0.0,-1.0416060246883685,0.0,-0.17159102343936583,0.0,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-1.750849477685823,-1.4110649544866294,-0.27794967605268006,13.634466271305978,-1.093996172509093,0.6643635253611446,1.0982253150801924,-27.24728792240514,-1.0823130159869354,0.8325925658531075,0.17467554316374923,-57.183213023785704,0.07217858125523335,-1.0031307903648368,0.6821507907654123,-55.00999540268202,1.5882058988897496,-2.1917787316727333,-3.1991172121021205,19.713268754655132,0.7678171889637486,-0.3271180896303516,-0.7012122892088635,-0.22800263119177044,0.021730777233961128,-1.0633368019223297
2010-01-19,1.3076880039312844,0.8494802047013694,1.0947447460295745,1.2499626599363545,0.8901686199092707,-1.842545653364358,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,0.0,-0.32643079880668724,-2.096456371686517,0.3189725187362935,0.0,0.5455782329001346,-1.8944927159865954,0.035789964349830505,0.0,0.24264254383745687,-0.9381166148364262,0.31156756258232665,-0.17159102343936583,0.46750577531680104,1.0389303936671368,1.1595696897430452,0.0,-1.2324998095322726,3.9886085092314616,-3.4431162801145,-1.0416060246883685,0.16190575087517978,0.2503294848422044,-0.6300591483459961,0.26383329327794336,0.8309114527516311
2010-01-20,-1.7716957174880088,-2.404132975137585,0.7042291521032418,-1.0597829662970737,0.04482682011999195,6.257112549735644,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,1.3076880039312844,-1.750849477685823,-1.4110649544866294,1.7243533325116411,0.8494802047013694,-1.093996172509093,0.6643635253611446,1.5919908073333877,1.2499626599363545,-1.0823130159869354,0.8325925658531075,0.05455206301101523,0.8901686199092707,0.07217858125523335,-1.0031307903648368,-0.0760018064251744,-1.842545653364358,1.5882058988897496,-2.1917787316727333,-0.9819148853328685,1.0947447460295745,0.7678171889637486,-0.3271180896303516,-0.93604204218386,-0.008522349762344207,0.712751501865586
2010-01-21,-1.9840258451873871,-0.8630852499165398,-1.204419528454892,-1.8944903389788381,-1.0829041757405289,19.218415920438648,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-1.7716957174880088,0.0,-0.32643079880668724,-0.6251462384691209,-2.404132975137585,0.0,0.5455782329001346,-0.24650486556414553,-1.0597829662970737,0.0,0.24264254383745687,0.400120187417663,0.04482682011999195,-0.17159102343936583,0.46750577531680104,-0.6300474486313878,6.257112549735644,0.0,-1.2324998095322726,-0.5219226631843266,0.7042291521032418,-1.0416060246883685,0.16190575087517978,0.5901475676144186,-0.2864417276115373,-0.9179778008433547
2010-01-22,-2.024186223006552,-1.2242677607497088,0.6207121855602793,-2.2140988764300484,-1.0628523319483163,22.631337694569687,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-1.9840258451873871,1.3076880039312844,-1.750849477685823,0.10887531321497335,-0.8630852499165398,0.8494802047013694,-1.093996172509093,0.45009052120932314,-1.8944903389788381,1.2499626599363545,-1.0823130159869354,0.28817272914287706,-1.0829041757405289,0.8901686199092707,0.07217858125523335,1.062091495557227,19.218415920438648,-1.842545653364358,1.5882058988897496,-4.879330174366292,-1.204419528454892,1.0947447460295745,0.7678171889637486,-0.6449156612294393,0.14087487107811417,0.47983731448216516
2010-01-25,0.9659259617115667,0.5508630434241768,0.8652618540313961,0.45980980127011684,-0.47809777022704836,-6.957157289218241,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-2.024186223006552,-1.7716957174880088,0.0,-0.27794967605268006,-1.2242677607497088,-2.404132975137585,0.0,1.0982253150801924,-2.2140988764300484,-1.0597829662970737,0.0,0.17467554316374923,-1.0628523319483163,0.04482682011999195,-0.17159102343936583,0.6821507907654123,22.631337694569687,6.257112549735644,0.0,-3.1991172121021205,0.6207121855602793,0.7042291521032418,-1.0416060246883685,-0.7012122892088635,-0.4154058101795945,1.2806676642109907
2010-01-26,-0.7308039279114498,0.24653701265220374,0.6437802642998758,-0.42031995736809824,-0.748504218019197,-3.384496715922447,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,0.9659259617115667,-1.9840258451873871,1.3076880039312844,-2.096456371686517,0.5508630434241768,-0.8630852499165398,0.8494802047013694,-1.8944927159865954,0.45980980127011684,-1.8944903389788381,1.2499626599363545,-0.9381166148364262,-0.47809777022704836,-1.0829041757405289,0.8901686199092707,1.0389303936671368,-6.957157289218241,19.218415920438648,-1.842545653364358,3.9886085092314616,0.8652618540313961,-1.204419528454892,1.0947447460295745,0.2503294848422044,-0.13859154104136526,0.7823718053412411
2010-01-27,-1.3920504996278282,-1.2296201566444842,0.21322074833611815,0.48801522109449547,-0.537574081907044,-5.74338041234469,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-0.7308039279114498,-2.024186223006552,-1.7716957174880088,-1.4110649544866294,0.24653701265220374,-1.2242677607497088,-2.404132975137585,0.6643635253611446,-0.42031995736809824,-2.2140988764300484,-1.0597829662970737,0.8325925658531075,-0.748504218019197,-1.0628523319483163,0.04482682011999195,-1.0031307903648368,-3.384496715922447,22.631337694569687,6.257112549735644,-2.1917787316727333,0.6437802642998758,0.6207121855602793,0.7042291521032418,-0.3271180896303516,-0.1437069389431924,0.35692768727931057
2010-01-28,-0.04072048329373246,-0.07377801642500792,-0.7978765678716138,-1.1817740959567224,2.1450484838878126,2.54969822018154,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-1.3920504996278282,0.9659259617115667,-1.9840258451873871,-0.32643079880668724,-1.2296201566444842,0.5508630434241768,-0.8630852499165398,0.5455782329001346,0.48801522109449547,0.45980980127011684,-1.8944903389788381,0.24264254383745687,-0.537574081907044,-0.47809777022704836,-1.0829041757405289,0.46750577531680104,-5.74338041234469,-6.957157289218241,19.218415920438648,-1.2324998095322726,0.21322074833611815,0.8652618540313961,-1.204419528454892,0.16190575087517978,-0.7186002854921092,-0.07927628237950457
2010-01-29,-1.0184682322328054,-0.0553687337998543,-0.8037597385793682,-0.9829173828039273,-0.3347555730693452,3.750532297368925,5.13420639015885,6.5,0.11,5.13420639015885,5.13420639015885,5.13420639015885,5.13420639015885,6.5,6.5,6.5,6.5,0.11,0.11,0.11,0.11,-0.04072048329373246,-0.7308039279114498,-2.024186223006552,-1.750849477685823,-0.07377801642500792,0.24653701265220374,-1.2242677607497088,-1.093996172509093,-1.1817740959567224,-0.42031995736809824,-2.2140988764300484,-1.0823130159869354,2.1450484838878126,-0.748504218019197,-1.0628523319483163,0.07217858125523335,2.54969822018154,-3.384496715922447,22.631337694569687,1.5882058988897496,-0.7978765678716138,0.6437802642998758,0.6207121855602793,0.7678171889637486,0.04343078573984229,-0.8471905243192105
